V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1.1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,6473.9
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.6,Distillate Fuel Oil No. 2,,,2011,Nitrous Oxide,0.018
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1.1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.018
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.2,Distillate Fuel Oil No. 2,,,2011,Nitrous Oxide,0.018
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.2,Distillate Fuel Oil No. 2,,,2011,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,6473.9
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.14
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.6,Distillate Fuel Oil No. 2,,,2011,Carbon Dioxide,6473.9
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.6,Distillate Fuel Oil No. 2,,,2011,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.018
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.6,Distillate Fuel Oil No. 2,,,2011,Methane,0.14
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1.1,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.14
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,1.1,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.2,Distillate Fuel Oil No. 2,,,2011,Methane,0.14
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2011,80022,0.2,Distillate Fuel Oil No. 2,,,2011,Carbon Dioxide,6473.9
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2011,92154,6.7,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2011,92154,6.7,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,16998
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2011,92154,6.7,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.032
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2011,92154,6.7,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.32
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2011,92020,4.7,Natural Gas (Weighted U.S. Average),,,2011,Nitrous Oxide,0.022
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2011,92020,4.7,Natural Gas (Weighted U.S. Average),,,2011,Carbon Dioxide,11845.4
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2011,92020,4.7,Natural Gas (Weighted U.S. Average),,,2011,Methane,0.22
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2011,92020,4.7,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2011,89165,79.3,Natural Gas (Weighted U.S. Average),,,2011,Biogenic Carbon dioxide,0
