V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,155.7,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,172,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,155.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,166.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,172,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,172,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,163.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,163.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,166.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,155.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,172,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,163.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,166.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,163.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,166.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,40121,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,2012,74553,155.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,0.7,Distillate Fuel Oil No. 2,,,2012,Methane,1.79
Lincoln,8073,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,2012,80828,16.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.183
