V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.COUNTY_FIPS,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,V_GHG_EMITTER_FACILITIES.YEAR,V_GHG_EMITTER_FACILITIES.ZIP,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,5,Natural Gas (Weighted U.S. Average),,,2010,Methane,0.56
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,5.3,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,28220.5
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,0.9,Distillate Fuel Oil No. 2,,,2010,Carbon Dioxide,28220.5
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,5,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,28220.5
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,0.6,Distillate Fuel Oil No. 2,,,2010,Carbon Dioxide,28220.5
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,5.3,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.063
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,0.9,Distillate Fuel Oil No. 2,,,2010,Biogenic Carbon dioxide,0
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,0.6,Distillate Fuel Oil No. 2,,,2010,Nitrous Oxide,0.063
Adams,8001,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,2010,80022,5,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.063
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2010,92154,2.8,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.013
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2010,92154,2.8,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,6996.3
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2010,92154,2.8,Natural Gas (Weighted U.S. Average),,,2010,Methane,0.13
San Diego,6073,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,2010,92154,2.8,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2010,92020,3.2,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,8153.2
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2010,92020,3.2,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2010,92020,3.2,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.015
San Diego,6073,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,2010,92020,3.2,Natural Gas (Weighted U.S. Average),,,2010,Methane,0.15
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,121.3,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,1.274
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,146.2,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,686711.2
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,121.3,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,146.2,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,1.274
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,121.3,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,686711.2
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,121.3,Natural Gas (Weighted U.S. Average),,,2010,Methane,12.74
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,146.2,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
Clark,32003,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,2010,89165,146.2,Natural Gas (Weighted U.S. Average),,,2010,Methane,12.74
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,9.7,Natural Gas (Weighted U.S. Average),,,2010,Methane,2.19
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.2,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.6,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.9,Natural Gas (Weighted U.S. Average),,,2010,Methane,2.19
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.6,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.219
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.9,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,118178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,10.7,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,118178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.2,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.219
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.2,Natural Gas (Weighted U.S. Average),,,2010,Methane,2.19
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.6,Natural Gas (Weighted U.S. Average),,,2010,Methane,2.19
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,10.7,Natural Gas (Weighted U.S. Average),,,2010,Methane,2.19
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,10.7,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,9.7,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,118178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.2,Natural Gas (Weighted U.S. Average),,,2010,Carbon Dioxide,118178
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,8.9,Natural Gas (Weighted U.S. Average),,,2010,Biogenic Carbon dioxide,0
New Haven,9009,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,2010,6460,9.7,Natural Gas (Weighted U.S. Average),,,2010,Nitrous Oxide,0.219
