V_GHG_EMITTER_FACILITIES.COUNTY,V_GHG_EMITTER_FACILITIES.FACILITY_ID,V_GHG_EMITTER_FACILITIES.FACILITY_NAME,V_GHG_EMITTER_FACILITIES.LATITUDE,V_GHG_EMITTER_FACILITIES.LONGITUDE,V_GHG_EMITTER_FACILITIES.STATE,V_GHG_EMITTER_FACILITIES.STATE_NAME,D_FUEL_LEVEL_INFORMATION.CH4_EMISSIONS_CO2E,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_BLEND,D_FUEL_LEVEL_INFORMATION.FUEL_TYPE_OTHER,D_FUEL_LEVEL_INFORMATION.REPORTING_YEAR,D_SUBPART_LEVEL_INFORMATION.GHG_NAME,D_SUBPART_LEVEL_INFORMATION.GHG_QUANTITY
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,155.7,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,166.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,172,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,172,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,163.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,155.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,163.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,166.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,155.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,155.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,172,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.132
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,163.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,31.32
Pittsburg,1000059,Tenaska Kiamichi Generating Station,34.72849,-95.89836,OK,OKLAHOMA,172,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1686052.6
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.7,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,94984.3
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,16.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,94984.3
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,20.1,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,94984.3
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,20.1,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.7,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0.183
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.2,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,94984.3
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.2,Distillate Fuel Oil No. 2,,,2012,Methane,1.79
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.7,Distillate Fuel Oil No. 2,,,2012,Methane,1.79
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.2,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,20.1,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.79
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.7,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,16.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,0.2,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0.183
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,16.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.79
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,20.1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.183
Lincoln,1000060,Limon Generating Station,39.2061,-103.6956,CO,COLORADO,16.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.183
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,1.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.014
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,1.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.1,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,0.014
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.13
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.1,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.014
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,1.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,6603.5
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,6603.5
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.1,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,6603.5
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,1.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.13
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Adams,1000061,Frank Knutson Station,39.85241,-104.85811,CO,COLORADO,0.1,Distillate Fuel Oil No. 2,,,2012,Methane,0.13
San Diego,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,3.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,9526.6
San Diego,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,3.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.18
San Diego,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,3.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Diego,1000065,CalPeak Power - Border LLC,32.57416,-117.04266,CA,CALIFORNIA,3.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.018
San Diego,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,10.9,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,27535.2
San Diego,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,10.9,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.052
San Diego,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,10.9,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.52
San Diego,1000067,Cuyamaca Energy Facility,32.79022,-116.96687,CA,CALIFORNIA,10.9,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,98.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,98.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.966
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,104.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,104.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.966
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,104.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,9.66
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,98.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,9.66
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,104.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,520730.4
Clark,1000068,Apex Generating Station,35.99,-115.09,NV,NEVADA,98.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,520730.4
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,5.2,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.07
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.4,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,5.2,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.107
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,3.9,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.107
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.4,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,57206.9
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,5.2,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.4,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.107
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,5.2,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,57206.9
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,3.9,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,57206.9
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,3.9,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.07
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,3.9,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.9,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.107
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.9,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.07
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.9,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.9,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,57206.9
New Haven,1000069,Wallingford Energy  LLC,41.21475,-73.04628,CT,CONNECTICUT,4.4,Natural Gas (Weighted U.S. Average),,,2012,Methane,1.07
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,246.8,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1931034.8
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,246.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.582
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,246.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,251.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1931034.8
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,251.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,253.9,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1931034.8
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,253.9,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,251.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.582
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,253.9,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,3.582
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,251.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,35.82
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,253.9,Natural Gas (Weighted U.S. Average),,,2012,Methane,35.82
San Bernardino,1000070,High Desert Power Project,34.53969,-117.34889,CA,CALIFORNIA,246.8,Natural Gas (Weighted U.S. Average),,,2012,Methane,35.82
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1415044.3
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.7,Natural Gas (Weighted U.S. Average),,,2012,Methane,26.22
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1415044.3
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.7,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,0,Distillate Fuel Oil No. 2,,,2012,Methane,26.22
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,2.622
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.7,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1415044.3
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,26.22
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,26.22
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.7,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,2.622
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,0,Distillate Fuel Oil No. 2,,,2012,Nitrous Oxide,2.622
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,2.622
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,0,Distillate Fuel Oil No. 2,,,2012,Biogenic Carbon dioxide,0
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,183.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
York,1000071,York Energy Center,39.73916,-76.30777,PA,PENNSYLVANIA,0,Distillate Fuel Oil No. 2,,,2012,Carbon Dioxide,1415044.3
San Diego,1000074,Escondido Energy Center  LLC,33.1261,-117.1172,CA,CALIFORNIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,1432
San Diego,1000074,Escondido Energy Center  LLC,33.1261,-117.1172,CA,CALIFORNIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.02
San Diego,1000074,Escondido Energy Center  LLC,33.1261,-117.1172,CA,CALIFORNIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.002
San Diego,1000074,Escondido Energy Center  LLC,33.1261,-117.1172,CA,CALIFORNIA,0.3,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.6,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2825.7
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.5,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.006
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.5,Natural Gas (Weighted U.S. Average),,,2012,Carbon Dioxide,2825.7
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.6,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.5,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.5,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.06
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.6,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.06
San Diego,1000075,Chula Vista Energy Center,32.5914,-117.0586,CA,CALIFORNIA,0.6,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.006
Klamath,1000076,Klamath Energy LLC,42.1739,-121.8106,OR,OREGON,0.8,Natural Gas (Weighted U.S. Average),,,2012,Biogenic Carbon dioxide,0
Klamath,1000076,Klamath Energy LLC,42.1739,-121.8106,OR,OREGON,1,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
Klamath,1000076,Klamath Energy LLC,42.1739,-121.8106,OR,OREGON,1,Natural Gas (Weighted U.S. Average),,,2012,Methane,0.19
Klamath,1000076,Klamath Energy LLC,42.1739,-121.8106,OR,OREGON,0.8,Natural Gas (Weighted U.S. Average),,,2012,Nitrous Oxide,0.019
